processes,vertices,delta,enable_ios,enable_push_pull_pruning,enable_hybridization,hybridization_tau,enable_load_balancing,elapsed_time
24,131072,25,0,1,0,0.4,0,0.0949106
96,2097152,25,0,1,0,0.4,0,0.689295
48,16384,25,0,1,0,0.4,0,0.0644631
24,2048,25,0,1,0,0.4,0,0.0274711
96,524288,25,0,1,0,0.4,0,0.170472
24,16384,25,0,1,0,0.4,0,0.0301347
96,4096,25,0,1,0,0.4,0,0.0572526
72,131072,25,0,1,0,0.4,0,0.081409
72,2097152,25,0,1,0,0.4,0,0.761236
96,8192,25,0,1,0,0.4,0,0.0318003
72,1024,25,0,1,0,0.4,0,0.0337472
24,524288,25,0,1,0,0.4,0,0.625803
48,8192,25,0,1,0,0.4,0,0.0374253
48,32768,25,0,1,0,0.4,0,0.044816
48,1024,25,0,1,0,0.4,0,0.028075
72,4194304,25,0,1,0,0.4,0,1.63813
96,262144,25,0,1,0,0.4,0,0.11393
48,262144,25,0,1,0,0.4,0,0.119404
72,524288,25,0,1,0,0.4,0,0.196809
48,131072,25,0,1,0,0.4,0,0.0805752
72,131072,25,0,1,0,0.4,0,0.158074
72,32768,25,0,1,0,0.4,0,0.0926466
96,131072,25,0,1,0,0.4,0,0.163168
48,8192,25,0,1,0,0.4,0,0.0625815
24,4194304,25,0,1,0,0.4,0,5.35278
24,65536,25,0,1,0,0.4,0,0.113333
24,2048,25,0,1,0,0.4,0,0.0321198
24,32768,25,0,1,0,0.4,0,0.0821848
96,32768,25,0,1,0,0.4,0,0.0465364
96,2097152,25,0,1,0,0.4,0,1.61407
72,16384,25,0,1,0,0.4,0,0.0666616
24,4096,25,0,0,1,0.4,0,0.0258677
96,4194304,25,0,0,1,0.4,0,7.97061
24,4194304,25,0,0,1,0.4,0,6.04288
24,65536,25,0,0,1,0.4,0,0.0599968
48,4194304,25,0,0,1,0.4,0,3.98516
24,8192,25,0,0,1,0.4,0,0.0227323
24,2097152,25,0,0,1,0.4,0,2.60648
96,262144,25,0,0,1,0.4,0,0.342096
96,1048576,25,0,0,1,0.4,0,0.573108
24,1024,25,0,0,1,0.4,0,0.0177486
24,4096,25,0,0,1,0.4,0,0.0199583
72,1024,25,0,0,1,0.4,0,0.0248096
72,262144,25,0,0,1,0.4,0,0.171953
48,2048,25,0,0,1,0.4,0,0.026402
24,1024,25,0,0,1,0.4,0,0.0169668
